KODE_DESA,DESA,n_a,y_a,direct_est_sampled,fh_est,bayes_mean,bayes_p025,bayes_p975
1,BIATAN BAPINANG,0,0,,0.2810573430640618,0.2562772999296367,0.039825850994227315,0.6459126096573647
1,KAYU INDAH,0,0,,0.2810573430640618,0.24041147300493546,0.05285543300408618,0.5283585369861029
1,LONG LANUK,0,0,,0.2810573430640618,0.24099697326329056,0.04085156706430718,0.5923467701762057
1,MARATUA PAYUNG-PAYUNG,0,0,,0.2810573430640618,0.23860427402511702,0.0633964310768194,0.4893585391849495
1,MERAPUN,0,0,,0.2810573430640618,0.24072837299041439,0.01015194821632265,0.7368550779304015
1,PEGAT,0,0,,0.2810573430640618,0.2422405787932094,0.061707831477250404,0.5266784669078333
1,PUNAN MAHKAM,0,0,,0.2810573430640618,0.2615794120790868,0.04574852482136951,0.6239830066390127
1,TELUK BAYUR,0,0,,0.2810573430640618,0.260578937101164,0.000741374935855587,0.90821141277581
1,TELUK SUMBANG,0,0,,0.2810573430640618,0.23997768135577965,0.049530381334304624,0.5478507217870418
1,[001] MARATUA PAYUNG-PAYUNG,19,6,0.3157894736842105,0.2976757515136544,0.2599175794244008,0.1416866865817426,0.4069985278845895
1,[001] MERAPUN,44,7,0.1590909090909091,0.2206152204049843,0.1809503970781483,0.10173045123225041,0.27785533153976544
1,[001] TELUK BAYUR,67,26,0.3880597014925373,0.35620676964665504,0.3427030525862042,0.24775637266815476,0.4458416810628627
2,BIATAN BARU,0,0,,0.2810573430640618,0.24625441539648213,0.052118955785458346,0.5639383748958564
2,BIDUK-BIDUK,0,0,,0.2810573430640618,0.2473142724185407,0.0011001015668664657,0.8730052143440936
2,LONG LAAY,0,0,,0.2810573430640618,0.23651325455106353,0.026407761718055592,0.6406281599330791
2,MARATUA BOHESILIAN,0,0,,0.2810573430640618,0.25538537025159236,0.041683517631801476,0.6133038220376144
2,MERABU,0,0,,0.2810573430640618,0.24017801085450255,0.05439272039805819,0.5320520648756629
2,RINDING,0,0,,0.2810573430640618,0.24562201766262381,0.003041845658249757,0.8544904694557001
2,SUMBER AGUNG,0,0,,0.2810573430640618,0.24137063534118655,0.05727705319112013,0.5183023480566592
2,TELUK SEMANTING,0,0,,0.2810573430640618,0.23798761960826925,0.06639068226420142,0.5002593619090426
2,TUMBIT DAYAK,0,0,,0.2810573430640618,0.2650568425462132,0.015659766377983542,0.7655340490590988
2,[002] BIDUK-BIDUK,22,7,0.3181818181818182,0.2996752841023033,0.2634784403470523,0.14108616049349446,0.4175661764741635
2,[002] RINDING,88,22,0.25,0.2606211570153851,0.24088685715182526,0.16644567119866122,0.32189258436971263
2,[002] TUMBIT DAYAK,35,13,0.37142857142857144,0.3314973436892935,0.30688728140538934,0.1939045786733302,0.44272701620265564
3,BUKIT MAKMUR JAYA,0,0,,0.2810573430640618,0.2488888442281466,0.04933874104998076,0.5685945693595869
3,CAMPUR SARI,0,0,,0.2810573430640618,0.24624083759065157,0.022748415740923983,0.6783309147239303
3,LABANAN MAKARTI,0,0,,0.2810573430640618,0.26138154766610255,0.0027849352524664797,0.8630932516845456
3,MAPULU,0,0,,0.2810573430640618,0.25845331646083075,0.043514420415351605,0.633659538163237
3,MARATUA TELUK ALULU,0,0,,0.2810573430640618,0.23926693851254544,0.06561379903065648,0.5022578601654513
3,PANTAI HARAPAN,0,0,,0.2810573430640618,0.24914775885417495,0.044139639931272644,0.6004691776984363
3,PUNAN SEGAH,0,0,,0.2810573430640618,0.25011503540229246,0.05298927185350586,0.579118080038078
3,SUNGAI BEDUNGUN,0,0,,0.2810573430640618,0.24393469487616562,0.0004107972940986791,0.878668699851604
3,TANJUNG BATU,0,0,,0.2810573430640618,0.2398883113467328,0.005906024128215066,0.7698554032464151
3,TEMBUDAN,0,0,,0.2810573430640618,0.26195287085409397,0.024482817230348355,0.7048353168234405
3,[003] SUNGAI BEDUNGUN,71,16,0.22535211267605634,0.24622337895432636,0.21981728744668283,0.14122471431192893,0.3061591547373024
3,[003] TEMBUDAN,37,16,0.43243243243243246,0.36637386680502626,0.35073864180299635,0.23147050369929248,0.48865606452680055
4,BATU PUTIH,0,0,,0.2810573430640618,0.2629525901543495,0.006372930890334463,0.8551926656905771
4,BUMI JAYA,0,0,,0.2810573430640618,0.25945462269620106,0.011028578546241025,0.7702766537063264
4,INARAN,0,0,,0.2810573430640618,0.24337018466964874,0.0636266592122271,0.5174109263916156
4,LABANAN MAKMUR,0,0,,0.2810573430640618,0.26248656729723385,0.0033567215044196883,0.8852071580350948
4,LONG AYAP,0,0,,0.2810573430640618,0.24013614902712568,0.0678946155957294,0.4951083839629561
4,MANUNGGAL JAYA,0,0,,0.2810573430640618,0.25530500392857297,0.02097354388477773,0.719900184881157
4,MARATUA TELUK HARAPAN,0,0,,0.2810573430640618,0.23633785951916156,0.012578293316895337,0.735736781708872
4,PANAAN,0,0,,0.2810573430640618,0.23971050694451854,0.05839699294141793,0.5162503762486236
4,PULAU DERAWAN,0,0,,0.2810573430640618,0.24359439671121966,0.016932674859337735,0.6811748237043602
4,TABALAR MUARA,0,0,,0.2810573430640618,0.23924705458799733,0.061075481538101634,0.5221903640802578
4,TANJUNG PEREPAT,0,0,,0.2810573430640618,0.2407377920498494,0.046597216935894005,0.5633025205408274
4,TANJUNG REDEB,0,0,,0.2810573430640618,0.23023406739836957,7.03290904811073e-06,0.936752148583737
4,TASUK,0,0,,0.2810573430640618,0.2443919685537162,0.054125780599442105,0.5586934267198458
